index ,code        ,current     ,time
  216 ,000409.XSHE ,     9.19   ,2024-03-19 15:00:00
  217 ,000410.XSHE ,     7.25   ,2024-03-19 15:00:00
  218 ,000411.XSHE ,    10.79   ,2024-03-19 15:00:00
  219 ,000413.XSHE ,     1.81   ,2024-03-19 15:00:00
  220 ,000415.XSHE ,     2.14   ,2024-03-19 15:00:00
  221 ,000416.XSHE ,     1.08   ,2024-03-19 15:00:00
  222 ,000417.XSHE ,     4.63   ,2024-03-19 15:00:00
  223 ,000419.XSHE ,     4.68   ,2024-03-19 15:00:00
  224 ,000420.XSHE ,     3.21   ,2024-03-19 15:00:00
  225 ,000421.XSHE ,     5.12   ,2024-03-19 15:00:00
  226 ,000422.XSHE ,     9.18   ,2024-03-19 15:00:00
  227 ,000423.XSHE ,    61.32   ,2024-03-19 15:00:00
  228 ,000425.XSHE ,     6.1    ,2024-03-19 15:00:00
  229 ,000426.XSHE ,    10.9    ,2024-03-19 15:00:00
  230 ,000428.XSHE ,     3.47   ,2024-03-19 15:00:00
  231 ,000429.XSHE ,     9.61   ,2024-03-19 15:00:00
  232 ,000430.XSHE ,     6.06   ,2024-03-19 15:00:00
  233 ,000488.XSHE ,     3.59   ,2024-03-19 15:00:00
  234 ,000498.XSHE ,     5.6    ,2024-03-19 15:00:00
  235 ,000501.XSHE ,     7.47   ,2024-03-19 15:00:00
  236 ,000503.XSHE ,    11.1    ,2024-03-19 15:00:00
  237 ,000504.XSHE ,     9.17   ,2024-03-19 15:00:00
  238 ,000505.XSHE ,     6.57   ,2024-03-19 15:00:00
  239 ,000506.XSHE ,     3.85   ,2024-03-19 15:00:00
  240 ,000507.XSHE ,     5.05   ,2024-03-19 15:00:00
  241 ,000509.XSHE ,     3.38   ,2024-03-19 15:00:00
  242 ,000510.XSHE ,     4.34   ,2024-03-19 15:00:00
  243 ,000513.XSHE ,    38.22   ,2024-03-19 15:00:00
  244 ,000514.XSHE ,     3.42   ,2024-03-19 15:00:00
  245 ,000516.XSHE ,     6.53   ,2024-03-19 15:00:00
  246 ,000517.XSHE ,     2.29   ,2024-03-19 15:00:00
  247 ,000518.XSHE ,     2.71   ,2024-03-19 15:00:00
  248 ,000519.XSHE ,    13.31   ,2024-03-19 15:00:00
  249 ,000520.XSHE ,     2.37   ,2024-03-19 15:00:00
